FILENAME COMPRESSED_SIZE NUMBER_OF_OBJECTS UNCOMPRESSED_SIZE SHA1_HASH
RS_2019-08.zst 6507012021 21927461 68490475892 b7b59a7b1996ceafb3c0174d9317cb2dbe0b87c57161d9b957dbdafdddd9eef9
RS_2019-09.zst 5756276356 20713273 63727259934 5cdbff0d18b025fd18f536b8880402f202edca0f21f3c42d750e807b0fdb3b9b
RS_2019-10.zst 5841502049 21695713 67735859041 c17da846fe2c83ab79d10d00cf7bae9116f37f8cc697329bd24ef414032eeab6
RS_2019-11.zst 5937769829 21243315 66828204810 3b36d96b0e62aceed01657ddaed0e50b236fd66c2130c202318fc6322cb538d9
RS_2019-12.zst 6497951267 21217847 68294574388 8bdf65da3b63f568a39a0368c0bf0f61e68661883976ce96af323a8474a681d3
RS_2020-01.zst 6962033339 21989643 73187219524 bafff7777b19f0be303b18a5a5403b976e9d3aa1c3aecb98ab0165072ad571bc
RS_2020-02.zst 6889808633 22242008 75651227152 202acb3c0c107e1e7e7a7e1e7e89c48b5884e5d826d7c2406ad0b2a3e1e29070
RS_2020-03.zst 8142373580 26577226 90891854960 710793b630b7d922f077f1732780e0327cdb0a38f3b95bf97f345d1166c60560
RS_2020-04.zst 9156707148 28501627 99896764875 b9fe98290d0cb8c7e83ba1ae01d457cdf0fd0d2c9e6355ae91d3d247a6501a37
RS_2020-05.zst 7058225761 28297185 92367471255 6447ff29e14d48a3aad3f6ae117beee5647b951c78a3cfa5ca708679a08c5280
RS_2020-06.zst 6895830995 27557757 91247685033 f3ad36a85417e4f3cc9c2caa8cbcdb4affbf3b88545795cf6c957858039cac37
RS_2020-07.zst 7304899368 28436736 95666126050 71c3f360253e5844c63582ac8e3312999b87732ee4893f87e597e635f8a00631
RS_2020-08.zst 7593776915 28883496 102826786900 5a5687115b911df9bea9879b9d7ba0dd03d61e4850a6534ccf80db2ccae137b8
RS_2020-09.zst 7373593843 27814712 107670411857 190b1adf53579853fa9941e6a4e6c47c4f493f37b79c8d1c9a7729e2ab064b9e
RS_2020-10.zst 7680855094 28659441 109165852987 cb8aa6744a7043b877e4bacfd4563d7bef91941d50eedc77c8b66d2dc5956583
RS_2020-11.zst 7571720367 28002626 106239218414 e23f5b33ceead67db68322d3606c7fd96aba8abf0c08b9edbbbc08e04b7cf80b
RS_2020-12.zst 8133875307 29695450 113934306119 3db982dc815cd59a23897ec969529c7b1ecd6da74c26f5014f8478d256d10770
RS_2021-01.zst 8698915333 32704571 124211250949 ab2739c98700e84b120a84eb552428e3c31ef3b23c0a95d0b4b5418133543009
RS_2021-02.zst 8365826778 31147947 118661271637 d79bb6e1e3f4fc1b1015f9077864d672274d3936f1ee88929600c683fed3866f
RS_2021-03.zst 9182807134 33006103 127394412634 0a9ea2ecb05df5a84937518c955fc2aeae34939b7dada553a0729ca052c18db4
RS_2021-04.zst 8967437476 31616206 123252224120 026c745f82a9c1727622d5aafc087938de7b78453a1cc8878c113611e3683973
RS_2021-05.zst 9737265467 36310673 139106256148 83f639f0489115621c50c0ffa0fa571377d1377d74dbe25cc0461de9c82374fc
RS_2021-06.zst 9458808322 34118481 133880853093 54304d885fef3f7a44d8af603d7b941593703f79ce87bb1594fa4815be9fd1a7
